lanp16,lanp16_label,langsos,langsoslbl,langoha,langohastr,langohalbl,langc39,lc39label,langc42,lc42label,langc12,lc12label,langc5,lc5label
4750,Hausa,80,Hausa,1,qaa,"Amharic, Somali, or other Afro-Asiatic languages",afr,African languages,afa,"Amharic, Somali, or other Afro-Asiatic languages",oth,Other and unspecified languages,oth,Other and unspecified languages
4830,Oromo,81,Oromo,1,qaa,"Amharic, Somali, or other Afro-Asiatic languages",afr,African languages,afa,"Amharic, Somali, or other Afro-Asiatic languages",oth,Other and unspecified languages,oth,Other and unspecified languages
4840,Somali,82,Somali,1,qaa,"Amharic, Somali, or other Afro-Asiatic languages",afr,African languages,afa,"Amharic, Somali, or other Afro-Asiatic languages",oth,Other and unspecified languages,oth,Other and unspecified languages
4880,Other Afro-Asiatic languages,83,Other Afro-Asiatic,1,qaa,"Amharic, Somali, or other Afro-Asiatic languages",afr,African languages,afa,"Amharic, Somali, or other Afro-Asiatic languages",oth,Other and unspecified languages,oth,Other and unspecified languages
4900,Nilo-Saharan languages,104,Other Central/East African,5,qca,"Swahili or other languages of Central, Eastern, and Southern Africa",afr,African languages,cea,"Swahili or other languages of Central, Eastern, and Southern Africa",oth,Other and unspecified languages,oth,Other and unspecified languages
5150,Swahili,84,Swahili,5,qca,"Swahili or other languages of Central, Eastern, and Southern Africa",afr,African languages,cea,"Swahili or other languages of Central, Eastern, and Southern Africa",oth,Other and unspecified languages,oth,Other and unspecified languages
5345,Ganda,85,Ganda,5,qca,"Swahili or other languages of Central, Eastern, and Southern Africa",afr,African languages,cea,"Swahili or other languages of Central, Eastern, and Southern Africa",oth,Other and unspecified languages,oth,Other and unspecified languages
5365,Kinyarwanda,86,Kinyarwanda,5,qca,"Swahili or other languages of Central, Eastern, and Southern Africa",afr,African languages,cea,"Swahili or other languages of Central, Eastern, and Southern Africa",oth,Other and unspecified languages,oth,Other and unspecified languages
5525,Shona,87,Shona,5,qca,"Swahili or other languages of Central, Eastern, and Southern Africa",afr,African languages,cea,"Swahili or other languages of Central, Eastern, and Southern Africa",oth,Other and unspecified languages,oth,Other and unspecified languages
5645,Other Bantu languages,88,Other Bantu,5,qca,"Swahili or other languages of Central, Eastern, and Southern Africa",afr,African languages,cea,"Swahili or other languages of Central, Eastern, and Southern Africa",oth,Other and unspecified languages,oth,Other and unspecified languages
5845,Manding languages,89,Mande/Manding,44,qwa,"Yoruba, Twi, Igbo, or other languages of Western Africa",afr,African languages,waf,"Yoruba, Twi, Igbo, or other languages of Western Africa",oth,Other and unspecified languages,oth,Other and unspecified languages
5900,Other Mande languages,89,Mande/Manding,44,qwa,"Yoruba, Twi, Igbo, or other languages of Western Africa",afr,African languages,waf,"Yoruba, Twi, Igbo, or other languages of Western Africa",oth,Other and unspecified languages,oth,Other and unspecified languages
5940,Fulah,90,Fulah/Fulani,44,qwa,"Yoruba, Twi, Igbo, or other languages of Western Africa",afr,African languages,waf,"Yoruba, Twi, Igbo, or other languages of Western Africa",oth,Other and unspecified languages,oth,Other and unspecified languages
5950,Wolof,91,Wolof,44,qwa,"Yoruba, Twi, Igbo, or other languages of Western Africa",afr,African languages,waf,"Yoruba, Twi, Igbo, or other languages of Western Africa",oth,Other and unspecified languages,oth,Other and unspecified languages
6120,Akan (incl. Twi),92,Akan/Twi,44,qwa,"Yoruba, Twi, Igbo, or other languages of Western Africa",afr,African languages,waf,"Yoruba, Twi, Igbo, or other languages of Western Africa",oth,Other and unspecified languages,oth,Other and unspecified languages
6205,Ga,93,Other West African,44,qwa,"Yoruba, Twi, Igbo, or other languages of Western Africa",afr,African languages,waf,"Yoruba, Twi, Igbo, or other languages of Western Africa",oth,Other and unspecified languages,oth,Other and unspecified languages
6230,Gbe languages,93,Other West African,44,qwa,"Yoruba, Twi, Igbo, or other languages of Western Africa",afr,African languages,waf,"Yoruba, Twi, Igbo, or other languages of Western Africa",oth,Other and unspecified languages,oth,Other and unspecified languages
6290,Yoruba,93,Other West African,44,qwa,"Yoruba, Twi, Igbo, or other languages of Western Africa",afr,African languages,waf,"Yoruba, Twi, Igbo, or other languages of Western Africa",oth,Other and unspecified languages,oth,Other and unspecified languages
6300,Edoid languages,93,Other West African,44,qwa,"Yoruba, Twi, Igbo, or other languages of Western Africa",afr,African languages,waf,"Yoruba, Twi, Igbo, or other languages of Western Africa",oth,Other and unspecified languages,oth,Other and unspecified languages
6370,Igbo,93,Other West African,44,qwa,"Yoruba, Twi, Igbo, or other languages of Western Africa",afr,African languages,waf,"Yoruba, Twi, Igbo, or other languages of Western Africa",oth,Other and unspecified languages,oth,Other and unspecified languages
6450,Kru languages,93,Other West African,44,qwa,"Yoruba, Twi, Igbo, or other languages of Western Africa",afr,African languages,waf,"Yoruba, Twi, Igbo, or other languages of Western Africa",oth,Other and unspecified languages,oth,Other and unspecified languages
6500,Other Niger-Congo languages,93,Other West African,44,qwa,"Yoruba, Twi, Igbo, or other languages of Western Africa",afr,African languages,waf,"Yoruba, Twi, Igbo, or other languages of Western Africa",oth,Other and unspecified languages,oth,Other and unspecified languages
6795,Other languages of Africa,105,Other African,28,und,Other and unspecified languages,afr,African languages,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages
6800,Aleut languages,101,Other AIAN,25,qna,Other Native languages of North America,ona,Other Native North American languages,ona,Other Native languages of North America,oth,Other and unspecified languages,oth,Other and unspecified languages
6839,Ojibwa,101,Other AIAN,25,qna,Other Native languages of North America,ona,Other Native North American languages,ona,Other Native languages of North America,oth,Other and unspecified languages,oth,Other and unspecified languages
6930,Apache languages,101,Other AIAN,25,qna,Other Native languages of North America,ona,Other Native North American languages,ona,Other Native languages of North America,oth,Other and unspecified languages,oth,Other and unspecified languages
6933,Navajo,97,Navajo,21,nav,Navajo,nav,Navajo,nav,Navajo,oth,Other and unspecified languages,oth,Other and unspecified languages
6936,Kiowa-Tanoan languages (2016 or earlier),101,Other AIAN,25,qna,Other Native languages of North America,ona,Other Native North American languages,ona,Other Native languages of North America,oth,Other and unspecified languages,oth,Other and unspecified languages
7019,Dakota languages,101,Other AIAN,25,qna,Other Native languages of North America,ona,Other Native North American languages,ona,Other Native languages of North America,oth,Other and unspecified languages,oth,Other and unspecified languages
7039,Keres,101,Other AIAN,25,qna,Other Native languages of North America,ona,Other Native North American languages,ona,Other Native languages of North America,oth,Other and unspecified languages,oth,Other and unspecified languages
7050,Cherokee,101,Other AIAN,25,qna,Other Native languages of North America,ona,Other Native North American languages,ona,Other Native languages of North America,oth,Other and unspecified languages,oth,Other and unspecified languages
7032,Muskogean languages,101,Other AIAN,25,qna,Other Native languages of North America,ona,Other Native North American languages,ona,Other Native languages of North America,oth,Other and unspecified languages,oth,Other and unspecified languages
7059,Zuni (2016 or earlier),101,Other AIAN,25,qna,Other Native languages of North America,ona,Other Native North American languages,ona,Other Native languages of North America,oth,Other and unspecified languages,oth,Other and unspecified languages
7060,Uto-Aztecan languages,101,Other AIAN,25,qna,Other Native languages of North America,ona,Other Native North American languages,ona,Other Native languages of North America,oth,Other and unspecified languages,oth,Other and unspecified languages
7124,Other Native North American languages,101,Other AIAN,25,qna,Other Native languages of North America,ona,Other Native North American languages,ona,Other Native languages of North America,oth,Other and unspecified languages,oth,Other and unspecified languages
7300,Other Central and South American languages,102,Central/South American,28,und,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages
9999,Other and unspecified languages,103,Other/Unknown,28,und,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages
